Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
Congers Creek,Township of Chatsworth,Holland,Midhurst,"44.444, -80.886",17-5080-49235,not available
Conley Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.221, -81.361",17-4716-50073,['Yellow Perch']
Connell's Lake,Township of Chatsworth,Holland,Midhurst,"44.428, -80.733",17-5212-49192,"['Bluegill', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Cook Creek,City of Toronto,York,Aurora,"43.747, -79.542",17-6174-48446,not available
Cookstown Creek,Town of Innisfil,Tecumseth,Midhurst,"44.181, -79.714",17-6026-48891,"['Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Cooley Pond,County of Brant,Burford,Guelph,"43.121, -80.56",17-5358-47741,"['Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Crappie']"
Coon Creek,Town of Minto,Minto,Guelph,"43.973, -80.97",17-5040-48717,['White Sucker']
Copps Lake,Municipality of West Grey,Bentinck,Midhurst,"44.259, -80.966",17-5026-49005,"['Brook Trout', 'Northern Pike', 'Rock Bass', 'Yellow Perch']"
Cow Creek,City of Sarnia,Sarnia,Aylmer,"43.032, -82.242",17-3995-47650,not available
Cox Creek,Township of Woolwich,Woolwich,Guelph,"43.593, -80.439",17-5431-48237,"['Common Carp', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Cranberry Lake,Township of Severn,Tay,Midhurst,"44.807, -79.685",17-6040-49621,"['Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Crane Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.173, -81.414",17-4675-50020,"['Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Crane River,Municipality of Northern Bruce Peninsula,not available,Midhurst,"45.125, -81.543",17-4572-49967,not available
Credit River,City of Mississauga,Toronto,Aurora,"43.613, -79.73",17-6144-48227,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Brown Trout', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Northern Pike', 'Brook Trout', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Credit River (Erin Branch),Town of Caledon,Caledon,Aurora,"43.785, -80.034",17-5804-48499,not available
Credit River Alton Branch,Town of Caledon,Caledon,Aurora,"43.856, -80.079",17-5750-48573,not available
Credit River West Branch,Town of Halton Hills,Esquesing,Aurora,"43.689, -79.964",17-5914-48334,not available
Cunningham Lake,Municipality of Brockton,Greenock,Midhurst,"44.152, -81.381",17-4696-48886,"['Northern Pike', 'Yellow Perch']"
Cyprus Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.232, -81.531",17-4583-50085,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
